Infinite Flight Livery Name,Color 1,Color 2,Color 3
Cathay Pacific,#066f72,#066f72,#ffffff
Emirates,#037c4e,#d10a11,#ffffff
Etihad (Grand Prix),#270015,#c4921c,#c9baa8
United Airlines,#0060a9,#ffffff,#ffffff
Fedex,#ffffff,#660099,#ff6600
British Airways,#ffffff,#ef3226,#035caa
Air Force One,#5283c3,#b6a378,#839fb9
Air New Zealand,#232021,#ffffff,#ffffff
Air India,#ffffff,#d9000d,#ef7000
TAP Air Portugual,#bfd730,#46a41a,#ba141a
Alsaka Airlines,#b1d887,#00b2d6,#03416e
US Airways,#002e65,#b6121c,#ffffff
Air China,#e03b3f,#ffffff,#232021
American Airlines,#c7d0d7,#14acdc,#b62023
American Eagle,#c7d0d7,#14acdc,#b62023
Hawaiian,#4b2d89,#ce0d88,#f9423a
Air Asia X,#e42d2e,#ffffff,#ffffff
Swiss,#e32526,#ffffff,#ffffff
Southwest,#2144c8,#eccc5f,#cf363f
Jetblue,#053878,#4d93d3,#ffffff
N17XC,#e87539,#e87539,#cbccc7
Yakutia Airlines,#d9e1d8,#040d69,#040d69
Aer Lingus,#ffffff,#006472,#82c341
VietJet Air,#ffffff,#e92127,#f1e436
Avianca,#ffffff,#ff0000,#ff0000
Delta Air Lines,#ffffff,#003366,#c01933
Infinite Flight,#1c1c1d,#fa9822,#ffffff
Air France,#002157,#f71d25,#931116
Azul,#023169,#1a6bbe,#68ca8f
N456DX,#ffffff,#962525,#bebf8e
China Cargo,#ffffff,#fa4e41,#186482
KLM,#00a1e4,#ffffff,#ffffff
Virgin Australia,#ffffff,#e20606,#e20606
F-HATZ,#ffffff,#d23b32,#d2bd81
Infinite Flight -  Light,#1c1c1d,#fa9822,#ffffff
Private 6,#323232,#323232,#323232
Turkish Airlines,#c70a0d,#ffffff,#0053a5
Iberia - retro,#b11c25,#ef8314,#facd0a
Lufthansa,#00235f,#ffffff,#f9ba00
Frontier,#0f6744,#ffffff,#9a9b9c
Norweigan Airlines,#ffffff,#d81939,#003251
Qatar Airways,#5c0832,#747f8a,#747f8a
N1322K,#922525,#27282a,#b66437
SAS,#000099,#ffffff,#ffffff
Westwind,#ffffff,#6c5748,#1e314d
Gray and White,#726d66,#edece8,#edece8
Private 1,#323232,#323232,#323232
Private 5,#323232,#323232,#323232
Spirit Airlines,#ffec00,#ffffff,#ffffff
JAL Express,#cc0000,#ffffff,#000000
Ryanair,#ffffff,#2b4779,#f4ca36
United Airlines 2019,#0060a9,#ffffff,#ffffff
Fly Dubai,#ffffff,#ff8200,#006496
Cargolux,#ffffff,#d60606,#060606
Aeroflot,#cccecd,#152757,#e1090d
Black and Gray,#313230,#d0d0cb,#d13023
Private 8,#323232,#323232,#323232
Southwest Heart,#2144c8,#eccc5f,#cf363f
Air Canada,#ffffff,#f01428,#000000
Lufthansa - 2018,#00235f,#ffffff,#ffffff
Turkish Cargo,#c70a0d,#ffffff,#0053a5
United Express,#0060a9,#ffffff,#ffffff
JetBlue,#053878,#4d93d3,#ffffff
Malaysia Airlines,#ffffff,#0a3363,#ee252d
Southwest - Heart,#2144c8,#eccc5f,#cf363f
DHL,#d40711,#ffcc00,#ffffff
Singapore Airlines,#fcb130,#1d4886,#ffffff
Thai Airways,#370e62,#f5c300,#b6007d
Default,#323232,#323232,#323232
Avensa,#ffffff,#0abdd5,#0abdd5
Air New Zealand - All Black,#232021,#ffffff,#ffffff
Vietjet Air,#ffffff,#e92127,#f1e436
KLM - Orange Pride,#00a1e4,#ffffff,#ffffff
American Airlines - Old,#c7d0d7,#14acdc,#b62023
FedEx,#ffffff,#660099,#ff6600
Alitalia,#bf210d,#ffffff,#00663f
Kenya Airways,#006d3d,#ed1c23,#2e2e3e
Korean Airlines,#89d4ed,#ed3f47,#06519d
Red Stripe,#0d141c,#cfd0c2,#d2403e
WOW Air,#991882,#ffffff,#ffffff
JetStar,#dbe2ea,#ff5115,#000000
IndiGo,#001c94,#97d0ed,#ffffff
AirTran - Altanta Falcons,#0065a4,#ef3e42,#ffffff
Aeromexico,#032d5d,#ffffff,#ae1426
DutchBird,#f58707,#062765,#e70011
Nordwind Airlines,#efefef,#df0000,#ffffff
Stevo1kinevo,#323232,#323232,#323232
jetBlue,#053878,#4d93d3,#ffffff
Frontier - Colorado,#0f6744,#ffffff,#9a9b9c
Omni Air International,#5b160d,#52595b,#ffffff
Wizz Air,#ffffff,#d3007f,#312782
Ethiopian Airlines,#c52528,#5d8f4d,#ffc92d
Qatar Cargo,#5c0832,#747f8a,#747f8a
Spicejet,#c30b12,#fcd800,#f7a11c
Crystal Luxary Airlines,#008298,#ffffff,#ffffff
Maroon,#3d1a23,#9aa19f,#3a4856
75th FS Moody AFB,#323232,#323232,#323232
Eva Air,#009a42,#009a42,#ea5400
Austrian,#ffffff,#d7211c,#93282b
Jetstar,#dbe2ea,#ff5115,#000000
GOL+,#ff5800,#b7b3b1,#b7b3b1
Kuwait Airways,#20275b,#ffffff,#00aff0
"Black, Red &",#1c1c1c,#db362a,#9a958d
Aerologic,#ffffff,#5f6a6d,#ffcc00
Alaska Airlines,#03416e,#00b2d6,#b1d887
United Express - Old,#0060a9,#ffffff,#ffffff
US Navy,#323232,#323232,#323232
Transavia,#00d66c,#ffffff,#ffffff
United,#0060a9,#ffffff,#ffffff
LATAM,#2a0087,#ee1850,#ffffff
American Airlines - TWA,#c7d0d7,#14acdc,#b62023
LAPA,#151c59,#ffffff,#d1c066
China Airlines,#141e4c,#99b7e5,#e83652
Generic,#eff0ee,#eff0ee,#eff0ee
TUI,#6bace4,#c3d8ef,#da281c
Infinite Flight Dark,#1c1c1d,#fa9822,#ffffff
Air Mauritius,#ffffff,#bc0003,#bc0003
Qantas,#ffffff,#e00606,#e00606
French Air Force,#ffffff,#32578d,#f0cb7d
Garuda Indonesia,#001550,#007c90,#f8f8f8
Cebu Pacific,#f4dc14,#1572b6,#0f927f
Allegiant,#03579b,#f48120,#fbce20
Uzbekistan,#024986,#ffdb00,#368f25
Red and White,#fbfbf9,#ce423a,#cccdc7
Etihad,#270015,#c4921c,#c9baa8
Tunisair,#ffffff,#d40000,#d40000
Saudia,#bea479,#323779,#323779
Peach Aviation,#c240bf,#c49378,#fff9f4
ANA,#ffffff,#0b318f,#00a3e6
American Airlines - oneworld,#c7d0d7,#14acdc,#b62023
Boeing House,#ffffff,#0033a1,#0033a1
Alaska Airlines - 2016,#03416e,#00b2d6,#b1d887
Private,#323232,#323232,#323232
Air Austral,#dee1e0,#2c406d,#61bfdf
Icelandair,#003a7b,#fcaf18,#ffffff
66th WS Nellis AFB,#323232,#323232,#323232
Royal Jordanian,#000000,#bbae64,#d90023
EgyptAir,#ffffff,#00265d,#2abcee
Copa Airlines,#ffffff,#0060a9,#0060a9
Shandong Airlines,#1a446d,#f58634,#ffffff
Philippines Airlines,#062b67,#ec2b2a,#fdcb0a
HOP!,#002157,#f71d25,#931116
S7,#bed606,#4a9316,#ffffff
Scoot Airlines,#ffe900,#ffffff,#ffffff
Mango,#f57016,#ffffff,#bedf0e
Carbo Verde,#093b9e,#75d4d9,#ae9483
easyJet,#ff6600,#ff6600,#ffffff
