Infinite Flight Livery Name,Color 1,Color 2,Color 3
Air Austral,#dee1e0,#2c406d,#61bfdf
airBaltic (Special),#5f7ebb,#3c3b37,#b7c669
airBaltic,#b4c984,#dde0e0,#273550
Air Canada Retro,#929698,#973341,#d7c278
Air Manas,#e6e7e6,#44405c,#44405c
Air Tanzania,#e2e4e2,#3166ba,#46934c
Air Vanuatu,#94afbf,#404754,#c84d48
Airbus,#2a3b7a,#acbfd8,#e4e6e4
Bombardier,#e4e6e4,#485382,#232939
Airbus,#5180d3,#9cbee2,#2a4679
EgyptAir Express,#c9cbc6,#2d457d,#496eb1
Ibom Air,#e6e7e4,#dd8148,#2e5d53
JetBlue,#e6e7e5,#1e316a,#67c1df
Qantas Link,#dcdedb,#df4b64,#686c6e
ACJ Livery 1,#f1f1f0,#405c93,#c4ae72
ACJ Livery 2,#efefee,#704e58,#c8a85b
ACJ Livery 3,#f0f1f0,#1a274b,#abaeaf
ACJ Livery 4,#eff0ef,#a63341,#a1a4a4
ACJ Livery 5,#eaeceb,#d04344,#99a8b5
Airbus - New,#1a1c20,#1a1c20,#1a1c20
Airbus - Old,#28346e,#ca4f59,#daba5c
Frontier,#eeeeed,#1f3b45,#abb3bd
Mexicana,#182745,#f1f2f1,#4ea7dd
Airbus,#eff0ef,#354978,#2e4171
Air Canada Rouge,#efefee,#d83a42,#94474e
Croatia Airlines,#e5e8eb,#d54c66,#304faf
Drukair,#ebedeb,#d86743,#e9cf6d
Airbus,#f1f1f0,#192a6b,#a04744
Airbus,#d2e95e,#4f7439,#d24646
Airbus,#f1f1f0,#b2b3ad,#3a527a
SilkAir,#f2f2f2,#37557b,#508a97
TigerAir,#edeeed,#374a65,#e0b16e
Tunisair,#f1f2f0,#dd3c43,#dd3c43
Volaris,#f1f1f0,#172137,#90549d
Volotea Airlines,#f2f5f8,#c25a7b,#432e42
Aegean Airlines - 2020,#eeefee,#2d457f,#a4b8d1
Aegean Airlines,#f1f2f0,#3b4363,#8b9293
Aer Lingus 2019,#f1f2f0,#457998,#99c971
Air Arabia,#f2f4f6,#ef245e,#708197
Air Asia,#cb4258,#f0f1f1,#d33c4c
Air Busan,#f1f2f4,#2c438d,#8b9e62
Air Serbia,#eff1f2,#254179,#d73758
Air Zimbabwe,#eeefed,#c04a4b,#486d45
Austrian Airlines - Star Alliance,#f0f1f1,#e02b47,#213555
Batik Air,#9c4551,#46517e,#e2d076
EasyJet 2015,#e8ebec,#de8264,#de8161
EasyJet,#e8ebec,#e58356,#e58356
Eurowings,#eaecec,#844b72,#65b1e3
Frontier - Alberta and Clipper,#1b303a,#a6aeba,#f1f1f0
Frontier - Colorado,#1a2f3a,#d4d4d0,#9f9f99
Frontier - Hugh the Manatee,#27504d,#ebedec,#529bc4
Frontier - Ozzy,#1c313c,#efefee,#88a2ca
Frontier - Sheldon,#1b313b,#edefed,#384fa6
Airbus,#e8e461,#efeb60,#323437
Airbus,#4043b6,#f0f1f0,#99c8e7
Infinite Flight Pride 2022,#eae67e,#ce5a65,#8b60ab
Jazeera Airways,#7bc1de,#5791c4,#46547d
JetBlue Shantay,#f0f1ef,#263667,#67accd
JetSMART,#efefee,#2b4a79,#9e394a
Lauda Europe,#eff1f2,#c24a60,#c24a60
Libyan Airlines,#f0f1ef,#b3a27e,#7c354f
Peach Aviation,#e9eaeb,#c73ab5,#ad5ecd
Pelita Air,#f1f2f2,#15467a,#b9c239
Qantas Link,#f0f0ef,#d2363d,#373c49
Sky Airlines,#eeefee,#693390,#60cc77
Spirit Airlines 2014,#efe837,#1b273d,#f1eb3a
Airbus,#c7cacc,#3162ae,#c63c40
Super Air Jet,#f1f3f4,#cea882,#f0f2f3
Virgin America,#f1f2f1,#a52f3f,#f1f2f1
VivaAerobus,#eeefee,#66bd6b,#c35457
Airbus,#9d3b98,#f1f2ef,#9d3b98
Wizz Air,#f1f2f1,#b45191,#2e459f
Dragonair,#f1f1f0,#af3647,#f0f1ef
Etihad Airways,#e3ded1,#d4a25e,#78635c
Frontier - Virginia the Wolf,#f1f1f0,#204946,#5088a9
JetBlue - A Defining MoMint,#1755ce,#60cfc9,#71afc8
Middle East Airlines,#b63b4d,#497767,#4f75b1
Philippines Airlines,#a04846,#cea46f,#324374
Spirit Airlines,#efe365,#19233a,#eee264
Thomas Cook,#4b5460,#aaafae,#e8c358
Titan Airways,#24334c,#ee6245,#babcbc
VietJet Air,#b5323c,#e8de76,#dbdbd7
Vueling,#f1f2f4,#667181,#ddc15c
Etihad Airways,#dcca82,#f2f1e9,#982725
Turkish Airlines Cargo,#e6e7e3,#2a3b79,#c93425
Aeroflot,#afb2b5,#455679,#c16367
Air Transat,#d8dad8,#5fabce,#3a3f76
Avianca,#d9dbd9,#a74459,#755158
